step,time,0,1,2,3,4,5,6,7,8,
365, 2015/1/6 1:40:00,6,0,0,0,0,0,0,0,0,
366, 2015/1/6 2:0:00,6,0,0,0,0,0,0,0,0,
367, 2015/1/6 2:20:00,6,0,0,0,0,0,0,0,0,
368, 2015/1/6 2:40:00,6,0,0,0,0,0,0,0,0,
369, 2015/1/6 3:0:00,6,0,0,0,0,0,0,0,0,
370, 2015/1/6 3:20:00,6,0,0,0,0,0,0,0,0,
371, 2015/1/6 3:40:00,6,0,0,0,0,0,0,0,0,
372, 2015/1/6 4:0:00,6,0,0,0,0,0,0,0,0,
373, 2015/1/6 4:20:00,6,0,0,0,0,0,0,0,0,
374, 2015/1/6 4:40:00,6,0,0,0,0,0,0,0,0,
375, 2015/1/6 5:0:00,6,0,0,0,0,0,0,0,0,
376, 2015/1/6 5:20:00,6,0,0,0,0,0,0,0,0,
377, 2015/1/6 5:40:00,6,0,0,0,0,0,0,0,0,
378, 2015/1/6 6:0:00,6,0,0,0,0,0,0,0,0,
379, 2015/1/6 6:20:00,6,0,0,0,0,0,0,0,0,
380, 2015/1/6 6:40:00,6,0,0,0,0,0,0,0,0,
381, 2015/1/6 7:0:00,6,0,0,0,0,0,0,0,0,
382, 2015/1/6 7:20:00,6,0,0,0,0,0,0,0,0,
383, 2015/1/6 7:40:00,6,0,0,0,0,0,0,0,0,
384, 2015/1/6 8:0:00,6,0,0,0,0,0,0,0,0,
385, 2015/1/6 8:20:00,5,1,0,0,0,0,0,0,0,
386, 2015/1/6 8:40:00,3,0,1,1,0,0,0,0,1,
387, 2015/1/6 9:0:00,2,2,1,1,0,0,0,0,0,
388, 2015/1/6 9:20:00,2,2,1,1,0,0,0,0,0,
389, 2015/1/6 9:40:00,0,1,0,0,0,0,5,0,0,
390, 2015/1/6 10:0:00,0,0,0,1,0,0,5,0,0,
391, 2015/1/6 10:20:00,0,0,0,1,0,0,5,0,0,
392, 2015/1/6 10:40:00,0,0,0,0,0,0,5,0,1,
393, 2015/1/6 11:0:00,2,0,0,1,0,1,0,1,1,
394, 2015/1/6 11:20:00,0,2,1,0,0,1,2,0,0,
395, 2015/1/6 11:40:00,2,1,0,1,0,0,2,0,0,
